album,artist
Snow as a Metaphor for Death ,SENTRIES
Song Symbiosis ,Shugo Tokumaru
Sorcs 80 ,Osees
Souvenir ,alici
Speak to Me ,Julian Lage
STARFACE ,Lava La Rue
Sula Bassana ,"20syl, Christophe Pansani"
Sun Without Heat ,Leyla McCalla
Tangk ,Idles
That’s So Me ,Okay Kaya
The Death Of Summer & Other Promises ,Etta Marcus
The Drive Home ,Samar Cyn
The First Exit ,Tramhaus
The Great Impersonator ,Halsey
The Jester ,Wallice
The Lucky One ,Caroline Says
The Past Is Still Alive ,Hurray for the Riff Raff
"The Pilgrim, Their Gold, and the King of my Decrepit Mountain ",Tapir!
The Road to Hell is Paved with Good Intentions ,Vegyn
The Trials of Knowing ,Callum Orr
This Could be Texas ,English Teacher
This Wasn’t Meant For You Anyways ,Lola Young
Tiger’s Blood ,Waxahatchee
Timeless ,Kaytranada
TODO ESTÁ BIEN ,Jotaerre
Trail of Flowers ,Sierra Ferrell
Triple Seven ,Wishy
Twice Around the Sun ,Ugly
Two Shell ,Two Shell
Two Star & The Dream Police ,Mk.gee
Tyla ,Tyla
Unbound ,Bizhiki
Verbathim ,Nemahsis
Visions out ofLimelight ,RJD2
Viva Hinds ,Hinds
Wall of Eyes ,the Smile
Wanna Quit All The Time ,Faye Webster
Watch Me Drive Them Dogs Wild ,Merce Lemon
We Have Dozens of Titles ,Gastr Del Sol
Weezer’s Blue Album ,Trashdog
What a Devastating Turn of Events ,Rache Chinouririi
What A Relief ,Katie Gavin
What Now ,Brittany Howard
When you wake up ,Molina
"Where we’ve been, where we go from here ",Friko
Where’s My Utopia? ,Yard Act
Why Lawd? ,NxWorries
Windswept ,Photay
Woodland ,Gillian Welch
WOOF. ,Fat Dog
World of Work ,Clarissa Connolley
World Wide Whack ,Tierra Whack
XONGZ ,bricknasty
Y’Y ,Amari Freitas
"Yes, And? ",Ariana Grande
Zorb ,Sycco
